variable,missing_count,missing_percentage
ended_at,0,0.0
end_lat,117,0.0021676485311680066
end_station_id,0,0.0
rideable_type,0,0.0
end_station_name,1067050,19.76913987335745
start_station_id,0,0.0
member_casual,0,0.0
start_lat,0,0.0
start_lng,0,0.0
ride_id,0,0.0
end_lng,117,0.0021676485311680066
start_station_name,1047742,19.41142228498316
started_at,0,0.0
ride_duration_minutes,0,0.0
date,0,0.0
day_of_week,0,0.0
hour_of_day,0,0.0
month,0,0.0
day_type,0,0.0
time_of_day,0,0.0
day_name,0,0.0
month_name,0,0.0
is_weekend,0,0.0
